Country,Findings,,
Bulgaria,"Bulgaria's fairly strong legal framework on political finance is often undermined by in practice violations. Parties are entitled to state subsidies, which they usually receive, but little information on those subsidies is available to the public. Subsidized access to advertising is provided for in the law. However, in contravention of the law, some parties are charged higher rates for campaign spots than others. Non-financial state resources, in practice, featured during the 2013 campaign. Contributions are highly restricted in Bulgaria, as is electoral spending. Nevertheless, in practice, many violations of these limits occurred during the 2013 elections, and parties often find ways by which to circumvent the formal system. Parties are required to report their financial information both within and outside of campaigns, but do not always do in practice, nor do they provide complete lists of their contributors. Further, in practice, financial information is not always available to the public. The independent activities of third party actors are not regulated, and some parties use informally affiliated groups to undertake political activities during campaigns. The National Audit Office (NAO) is the oversight authority charged with monitoring political finance, but it lacks the explicit legal power to investigate potential violations. The independence and efficacy of the NAO is somewhat compromised due to deficits of independence and merit regarding its appointees. That said, it has sufficient capacity to carry out its functions, and does sanction parties who fail to comply with reporting requirements. Nevertheless, repeat violators are frequent. The evidence suggests that, because of the fashion in which many ostensibly independent institutions, including the NAO, are compromised by political influence, equitable enforcement of political finance in Bulgaria is lacking.",,
Chile,"Chile has a strong system of direct and indirect public funding for parties and candidates. In law and practice, public resources are provided equitably and in accordance with legally defined mechanisms. Documented cases of the abuse of non-financial resources during the 2013 elections are rare. Restrictions on contribution and expenditure exist, but loopholes are present within the system. Some forms of anonymous contributions, for example, are permitted. Campaign spending, by both parties and candidates, is limited to a maximum amount. In practice, the evidence indicates that some of the legal restrictions were violated during 2013, and some expenditures may have exceeded the specified limits. Legally established reporting requirements are fairly sparse in Chile - post election reports are required of all political actors, and parties must submit annual reports. In practice, reports usually omit at least some contributors. Incomplete reports and a dearth of standardization mean that, in practice, limited information is available to the public. In law, third party actors are prohibited from engaging in independent political activities. Nevertheless, in practice, some organizations do conduct such activities. The Electoral Service is charged with oversight of political finance, and its leaders are typically independent and appointed, at least in part, based on merit. The Electoral Service has sufficient staff and budget to carry out its responsibilities, but it does not publish information on its investigation results. It can and does impose some sanctions, but equitable enforcement is incomplete, and accusations of dark money continue to pervade Chilean politics.",,
Colombia,"There is a strong legal framework in place in Colombia to regulate political finance issues. Systems of direct and indirect public funding exist, and are equitably enforced in practice. Non-financial resources are occasionally abused during campaigns, but such occurrences are the exception, rather than the norm. Legal restrictions on contributions are substantial, though no law restricts cash donations. Spending during election campaigns is also capped. Interestingly, in spite of the equitable provision of direct public funding, private contributions still account for the bulk of campaign expenditures. Further, violations of limits on contribution and expenditure were reported during the 2014 elections. Reporting requirements in Colombia are stringent, and largely respected in practice. Most political actors adhere to the law, and report the majority of contributions received. In practice, a good deal of political finance information is available to the public, in large part due to the use of Cuentas Claras, an online platform on which financial reports are immediately published upon submission. Violations of the regulatory framework, including vote buying, were present during the 2014 elections. Third party actors are not hugely influential in Colombia, but their independent activities are not regulated by law. The National Electoral Council (NEC) is charged with monitoring and enforcing political finance, but some appointees appear to lack the merit and independence necessary for successfully carrying out their duties. Still, the NEC investigates potential violations, and has sufficient capacity to do so, but is not totally transparent about its investigation results. The body imposes sanctions, most of which are complied with. ",,
Costa Rica,"Costa Rica has a strong legal framework in place to regulate political finance. Direct public funding is provided (in the form of post-election reimbursements), in law and in practice, to political parties, and the abuse of non-financial state resources during campaigns is rare. There is no subsidized or free access to media advertising during campaigns. There is no limit on contributions from individuals, nor are cash donations prohibited or capped. Campaign spending is also unlimited. In practice, this means that parties take out substantial loans to finance campaigns, which they later pay down with the reimbursements provided by the state. Reporting requirements are quite stringent, the law mandating that parties submit detailed financial reports both inside and outside election periods. In general, parties typically complied with these requirements during the 2014 election. The reports are made available to the public, but not in a standardized or machine readable format. Violations of the law were rare during the 2014 campaign. Third party actors are prohibited from engaging in any political activity, but in practice, several ostensibly independent, non-party organizations undertook campaign activities in 2014. The Electoral Court (TSE) oversees political finance. Appointments to the TSE are merit-based, though not public, and its leaders are independent, both in law and in practice. The authority is only slightly constrained by a lack of budget and staff capacity, and carries out investigations when warranted in most cases, though it does not publish all investigation results in a timely fashion. The TSE imposes fines and refers cases for prosecution when necessary, and offenders comply with its sanctions. Despite the strengths of the Costa Rican system, weaknesses remain: in particular, the failure to regulate contributions from individuals, and the lack of a cap on spending during campaigns, have been the subject of reform efforts.",,
Croatia,"Croatia provides public subsidies for parties and candidates during campaigns, both in law and in practice. No indirect funding in the form of subsidized access to media exists, and the evidence indicates that non-financial public resources, including ministry vehicles, were occasionally abused in recent elections. The legal framework restricts many types of contributions and also caps the amount that can be spent during election campaigns. As a result, public funding comprises a huge chunk of party budgets. Few, if any, of the legal limits were violated in the 2014 elections. Parties and candidates are subject to strict legal reporting requirements, the majority of which are complied with in practice. Submitted financial reports are available online, but not in a machine-readable format. Despite these successes, the 2014 elections were marred by numerous violations of political finance laws. Further, no law exists to regulate the independent activities of third party actors during campaigns, even though at least one actor (a football team) engaged in partisan political action during the 2014 campaign. The State Election Committee (SEC) oversees political finance issues. Appointments to the SEC are not merit-based, but the body is at least somewhat independent in practice. It has sufficient capacity to pursue its remit, and regularly investigates potential violations of political finance. However, the SEC lacks the legal authority to impose sanctions, and experts report that this weakens the strength of enforcement in Croatia.",,
Ecuador,"Ecuador provides parties with direct public funding; however, they may not use those funds for campaign purposes. Access to advertising, on the other hand, is available, though it was not distributed transparently and equitably during the 2014 campaign. Non-financial resources were regularly abused during that campaign as well. Restrictions on contributions from individuals and corporations exist in the law, but no ban limits cash contributions. Expenditures during campaigns, however, are capped. Numerous violations of these restrictions occurred during the most recent elections. Where reporting is concerned, parties are required to submit reports both inside and outside campaigns. In practice, submitted reports include complete lists of all contributors, but none of that information is available to the public in a timely fashion. Third party actors are prohibited from any political activity, and the evidence suggests that Ecuador is one of the few countries in the MPT sample in which such organizations have not had any campaign presence. The National Electoral Council (NEC) is responsible for oversight of political finance, but its appointees, in practice, are neither fully merit-based nor independent. A lack of budget and staff complicates its ability to carry out its remit, and the public cannot easily access information on the NEC's investigations. The body does impose sanctions, but offenders do not always comply. According to the MPT research, a lack of transparency on political finance information in general and the NEC's work in particular inhibits the efficacy of Ecuador's regulatory regime.",,
Georgia,"Georgia has a robust political finance system, as illustrated by its adherence to laws that distribute both direct and indirect public funding to parties and candidates. That said, during the 2012 and 2013 elections, non-financial state resources, including staff, were prevalently abused for electoral benefit. In law, there are limits or prohibitions on contributions from foreign sources, individuals, third parties, and corporations, and electoral expenditures are capped. Nevertheless, larger parties are still quite reliant on private donations, and illegal contributions occurred frequently during recent elections. Reporting requirements for both parties and candidates are fairly strict, and reports submitted by both types of actors typically include all of their contributors. All submitted information is published online in pdf (i.e., non machine readable) formats. Third party actors, which feature somewhat prominently in Georgian politics, are subject to reporting requirements, though not all such organizations act within the bounds of the law when conducting their activities. The State Audit Office (SAO) is charged with monitoring and enforcing political finance laws, but its ability to do so equitably is weakened by in practice deficiencies where its appointees' merit and independence are concerned. The SAO does not have the staff to carry out investigations when warranted, and though it imposes sanctions on violators, it is unable to comprehensively police financial flows during campaigns. According to experts, improvements in the competence and independence of the SAO are necessary for enhancing the quality of enforcement.",,
Germany,"Germany's lightly regulated political finance system provides direct public funding for parties and candidates, but full information on exactly when disbursements are made is not available to the public. During elections, parties are granted free access to advertising, both in law and in practice. During the 2013 elections, some parliamentary groups, in contravention of the law, deployed their parliamentary staff in campaign events. Contributions are largely unrestricted, and there is no spending limit during campaigns. Nevertheless, parties appear to rely primarily on state funding and members' fees, while corporate and private donations are less important. Reporting requirements are scant, as only parties are required to submit any financial information -- according to the law, they are supposed to do so annually. Contributions listed on those reports are not itemized, and may not be complete. Received reports are published on the parliamentary website, but are usually in pdf format, and are often quite out of date. Third party actors, including unions and party foundations, are politically active, but are not subject to any regulation. The responsibility for oversight of political finance is split between the President of the Bundestag and the Federal Audit Office. Though the FAO is generally independent, the President of the Bundestag is a political figure. The two bodies generally have the capacity to carry out their duties, but investigations into potential violations are rare, and no information on those investigations is released to the public in a timely fashion. Sanctions are imposed when necessary, but repeat offenders are frequent. Germany's relatively weak legal framework and the opacity of its system, as well as the lack of a strong independent monitoring authority, inhibit the strength and transparency of enforcement.",,
Ghana,"Ghana does not provide parties or candidates with funding, direct or indirect, for electoral campaigning. Few contributions are restricted, and the law does not limit spending during campaigns. Parties and candidates rely primarily on membership dues and self-financing to generate funds. Due to the absence of most regulations, no violations of restrictions were reported during the 2012 elections. Parties are required to report their financial information within and without the campaign season, but in practice, it is not uncommon for them to fail to meet these requirements. Of the information that is submitted, it often fails to include a full list of contributors. Financial reports are not made accessible to the public in a timely fashion. There is no regulation of third party actors in the Ghanaian system. The oversight body, the Electoral Commission, is generally independent, though some of its leaders may have been appointed on a non-merit-basis. In practice, however, the Electoral Commission exercises very little control of political finance. It has not investigated or audited party accounts within the study period due to a lack of capacity, nor has it sanctioned any party for violating the law (despite the fact that several violations have occurred). ",,
Hungary,"In Hungary, direct public funding is provided to parties and candidates, both in law and in practice. However, the agency in charge of making disbursements of state funds does not release detailed information on those payments to the public. Hungarian legislation also mandates that parties be allocated equitable access to advertising on public media, but this is not borne out in practice. Further, non-financial state resources are regularly abused during election campaigns, especially by the ruling part, Fidesz. Electoral spending is capped at a maximum limit, but restrictions on contribution are not as stringent. Cash and anonymous donations are permitted, and there is no limit on donations from individuals. State funds make up the largest chunk of parties' budgets, but other income streams, including private donations, are important. Financial reporting is required only after campaigns and, for parties, annually. In practice, parties and candidates fail to submit full reports on their contributors. Obtaining these reports is difficult for citizens, though journalists and civil society actors have accessed official data in their work. Third party actors are not especially prevalent in the electoral landscape, but those that do exist are not subject to any regulatory requirements. The two authorities in charge of overseeing political finance, the State Audit Office (SAO) and the State Treasury, are staffed by appointees who are not appointed in fully public, merit-based processes. In practice, the independence of the SAO is not fully guaranteed. The SAO does have the capacity to monitor political finance, and carried out some audits after the 2014 elections. However, the SAO does not have the authority to impose sanctions, and those enacted by the State Treasury, which monitors the use of state funding, are too weak to deter violators. ",,
India,"There is no direct public funding for parties or candidates in India. Indirect public funding, however, in the form of free airtime on state run television, is granted to parties. Non-financial state resources were frequently abused during the 2014 elections. No laws restrict cash and anonymous donations, and individuals can legally donate as much as they like. Candidates are legally required to adhere to spending limits during campaigns, but in practice, few actually do. Parties are not subject to any restrictions on expenditure. Candidate limits were regularly breached in the 2014 campaign. In terms of reporting requirements, candidates must report only during campaigns, while parties should submit annual and post election reports. In practice, the reports submitted often lack important details on contributors and donations, and are not totally available to the public. As such, media coverage of official political finance data is scant at best, though violations are common. The independent political activities of third party actors are not regulated, and the public has no access to information on the financial workings of these actors. The Electoral Commission (ECI) is responsible for overseeing political finance. Its appointees are not fully merit-based, and their independence is less than guaranteed. Despite having sufficient staff and budget, the ECI does not audit any party reports, and its recommendations for sanctions are frequently ignored. ",,
Indonesia,"Indonesia's political finance framework makes public funding available for parties, and is distributed according to how many votes were received during the previous election. In practice, obtaining information on how much funding parties received is nearly impossible, as doing so requires filing information requests with parties themselves. Parties and candidates are also granted free access to public media during campaigns; however, in practice, some parties are granted more coverage than others. Further, non-financial state resources are regularly abused during campaigns. Cash contributions are not regulated and though limits cap the amount an individual can donate to presidential candidates and to parties, contributions to members of parliament are not restricted. Corporate donations are limited, and third party actors are not permitted to make direct contributions to campaigns. Spending during campaigns is not capped. Nevertheless, the MPT evidence indicates that actual spending during the campaign season far outstrips the figures reported by parties. Reporting requirements are not comprehensive, and of the reports that are submitted in practice, most fail to include a complete list of contributors. Detailed information on the financial data of political actors is largely unavailable to the public. Third party actors exert influence during campaigns, but as their independent political activities are not regulated by law, little information on their actions is available. The responsibility for enforcing political finance laws is split between two agencies: KPU and Bawaslu. KPU monitors political finance information, and when necessary, refers cases to Bawaslu for investigation. Only KPU can legally impose sanctions, though its powers are limited. Both agencies are independent, with appointees possessing sufficient merit for their positions, but lack the capacity to completely carry out their functions. In practice, Bawaslu does conduct investigations transparently, and KPU does impose sanctions, but violations continue to occur. The KPU's sanctioning authority is limited to administrative fines, and is too weak to deter repeat violators. The limited authority of the oversight bodies hamstrings their ability to meaningfully enforce many political finance regulations.",,
Israel,"Israel provides direct public funding for parties, as well as free access to advertising, though in practice questions arose during the 2013 elections about how airtime was distributed. Multiple cases of non-financial resources being abused also occurred during those elections. By law, individuals are limited in the amount they can contribute to parties, and parties cannot spend more than a certain amount during campaigns. In practice, parties rely on public funding for their financing, while candidates are often reliant on individual donors. During the 2013 elections, a number of parties violated restrictions on contribution. Parties are required, in law, to report on their finances within and without the campaign period, while candidates must do so only during elections. Some reports filed by both parties and candidates fail to include a full list of donors and contributions. Some financial information is available online in pdf or word formats. Media organizations typically rely on the Comptroller's report, which covers the entire electoral process, in their coverage of political finance issues. Only some third party actors are required to report partial information on their independent political activities, and obtaining verified information on their spending and contributions is very difficult in practice. The Comptroller is responsible for overseeing political finance -- he is not chosen in a public process, and in practice, the Comptroller's independence is not guaranteed. The Comptroller did not carry out serious investigations in the wake of the 2013 campaign, and sanctions imposed for administrative violations have not deterred repeat violators. Because of a deficit of formidable sanctioning authority, the Comptroller is unable to ensure compliance with the law.",,
Italy,"In Italy, parties receive direct public funding (though subsidies will be phased out entirely by 2017). They also receive free access to airtime for advertising purposes during campaigns, which, with few exceptions, is distributed equitably and transparently. Non-financial state resources are often used for electoral purposes. Individuals and corporations are limited in how much they can donate to parties, but not to individual candidates, and spending by both parties and candidates is capped during campaigns. Historically, parties are very reliant on public funding, though this will change as allocations of public funds diminish in the next few years. Both parties and candidates are required to report their financial information during campaigns, but only parties must submit reports outside of the campaign season. Submitted reports often contain, at best, a partially itemized list of all contributors, and lack some information. In public, it is difficult for the public to access high quality, machine readable, and standardized political finance information. Vote buying was common in Italy during the 2013 elections, as were other political finance violations. Some third party actors are required to report on their independent political activity, but trade unions and non profits are under no such obligations. This means that, in practice, the political actions of third party actors are mostly opaque. Recent reforms established a monitoring commission but the commission has no investigatory powers, and its appointees are neither completely merit based nor guaranteed full independence in practice. Its capacity to exercise control of political finance is limited, it carries out no investigations, and its administrative sanctions do not prevent frequent violations of the law. ",,
Japan,"Japan has direct public funding for both parties and candidates. This support is distributed in accordance with the legally defined allocation mechanism, but in practice, information on those disbursements is not always available in a timely fashion. Free access to advertising is available for parties contesting seats in the lower house of parliament, and for candidates in the upper house. With the exception of resources available to sitting members of parliament (to which challenging candidates do not have access), non-financial state assets are not deployed during campaigns. Legislation places limits on the amounts individuals, corporations, and foreign sources can contribute for campaign purposes. Party expenditures are not limited, but candidate spending may not exceed a set limit. In practice, certain candidates appear to have attempted to circumvent limits on spending during the most recent elections. In terms of reporting requirements, parties are required to submit financial reports annually, while candidates do so only within campaigns. In practice, the reports submitted do not include many contributions. All submitted reports are published online, but only in pdf format, limiting the extent to which they are easily accessible. Third party actors, despite being present in Japan, are not regulated, either in law or in practice. Several oversight bodies are charged with monitoring and enforcing political finance. In practice, these authorities are afflicted by a lack of merit-based appointees, and concerns about their independence. Investigations are rare, and oversight agencies cannot unilaterally impose sanctions. ",,
Kenya,"In Kenya, parties are entitled to receive direct public funding. In practice, they do so, though some parties have expressed concern that they did not receive the full amounts to which they were entitled in law. Some form of media access is, according to the law, supposed to be provided, but in practice, this has yet to happen. Non-financial state resources are regularly abused during campaigns. Many types of contributions are restricted or limited in law, but electoral spending is subject to no such limitations. Despite legal restrictions, parties and candidates both rely primarily on individual and corporate donors, and some documented abuses occurred during the 2013 elections. Reporting requirements mandate that both parties and candidates submit their financial information during campaigns, but only parties must do so on an annual basis. Submitted reports typically lack detailed information on contributors. Financial data is available to the public, though at a cost. Some third party actors are required to report on their independent activities during campaigns, according to the law, but they frequently fail to do so in practice. Responsibility for monitoring and enforcing political finance laws resides with two bodies: the Registrar of Political Parties and the Independent Electoral and Boundaries Commission (IEBC). The evidence suggests that appointments to these agencies are not fully merit-based, and appointees are not totally independent. In practice, very little enforcement occurs, and no sanctions were imposed during the 2013 elections.",,
South Korea,"South Korea, in law and in practice, distributes direct public funding to parties and candidates for campaigns. Indirect public funding, in the form of reimbursements for advertising costs, is also available. Non-financial state resources, however, were used during the 2012 elections. The law restricts a number of modalities of contributions, and also caps electoral spending by both parties and candidates. Parties rely on public funding for roughly 33% of their expenses. Several reports indicate that restrictions on contributions and expenditure were violated during the 2012 elections. Korean law includes extensive reporting requirements inside campaigns, and annual reporting is required outside election periods. In practice, however, many contributions, especially in-kind contributions, are not reported by parties and candidates. Access to political finance information is highly restricted. Most third party actors are prohibited from engaging in political activity, but supporters' associations are allowed to support campaigns, though they are required to report on their activities. In practice, their reports are less than comprehensive, and much of their campaigning remains opaque. The Election Commission is in charge of regulating political finance. In practice, its appointees are not always fully merit-based, nor is their independence completely guaranteed. It has the power to investigate, but chose not to do so after the 2012 elections. When it does impose sanctions, however, offenders always comply. Indeed, in Korea, enforcement of political finance is notably strong.",,
Lebanon,"Lebanon's legal framework regarding political finance is sparse. Neither direct nor indirect public funding are available for parties or candidates. State resources are often abused during campaigns. Some restrictions on contributions to candidate exist, as do candidate expenditures, but parties are wholly unregulated in law. Elections are funded largely by foreign actors, or by candidates themselves. Only candidates are required to report on their finances during campaigns, and no reports are necessary outside the campaign season. In practice, the reports that are submitted tend to lack detailed information on contributors. No financial information is available to the public. Third party actors are not regulated by Lebanese law. The Supervisory Commission on the Electoral Campaign (SCEC) is charged with overseeing political finance, but its leaders are not appointed in merit-based, public competitions, and their independence, in practice, is not guaranteed. The SCEC does carry out some audits, but its sanctions are roundly ignored. The SCEC is too weak to meaningfully enforce political finance law.",,
Malawi,"Malawi has no legislation in place to regulate political finance. The only relevant law is the Constitution, which bans the use of state resources during campaigns. Nevertheless, such resources are often used. No other legislation exists, and enforcement, as a result, is absent.",,
Malaysia,"Malaysia's political finance system does not provide any type of funding, direct or indirect, for parties or candidates. Restrictions on contribution are likewise largely absent, though anonymous donations to candidates are not permitted. During campaigns, candidates may not spend more than a fixed amount, but there is no cap on party spending. In order to generate funds, parties rely on business ventures and membership dues. Reporting requirements are light: according to the law, parties must report on their finances annually, and candidates must do so only once, in a single post-election report. Reports are not completely itemized, and in practice, do not disclose a complete list of donors or donations. Of the information that is submitted, no party reports are made available to the public, and candidate reports, in practice, are accessible only in hard copy for a period of six months after the election. Third party actors appeared in the 2013 elections, but they are not required to report on their financial activities, and no information is available on their independent contributions and expenditure. The Electoral Commission is responsible for overseeing political finance. In law, the Commission is not granted investigatory powers. Its appointees are not appointed based on merit, and their independence, in practice, is not fully guaranteed. The body does not conduct investigations, lacks the capacity to do so, and never imposes sanctions on parties or candidates who violate the law. In Malaysia, not only is the regulatory framework fairly weak, enforcement is less than rigorous.",,
