code,name,aggregate_score,in_law_score,in_practice_score,findings,electoral_system
EC,Ecuador,65,73,40,"Ecuador provides parties with direct public funding; however, they may not use those funds for campaign purposes. Access to advertising, on the other hand, is available, though it was not distributed transparently and equitably during the 2014 campaign. Non-financial resources were regularly abused during that campaign as well. Restrictions on contributions from individuals and corporations exist in the law, but no ban limits cash contributions. Expenditures during campaigns, however, are capped. Numerous violations of these restrictions occurred during the most recent elections. Where reporting is concerned, parties are required to submit reports both inside and outside campaigns. In practice, submitted reports include complete lists of all contributors, but none of that information is available to the public in a timely fashion. Third party actors are prohibited from any political activity, and the evidence suggests that Ecuador is one of the few countries in the MPT sample in which such organizations have not had any campaign presence. The National Electoral Council (NEC) is responsible for oversight of political finance, but its appointees, in practice, are neither fully merit-based nor independent. A lack of budget and staff complicates its ability to carry out its remit, and the public cannot easily access information on the NEC's investigations. The body does impose sanctions, but offenders do not always comply. According to the MPT research, a lack of transparency on political finance information in general and the NEC's work in particular inhibits the efficacy of Ecuador's regulatory regime.","Ecuador has a directly elected President who serves as the head of state, while the legislative branch consists of the unicameral 137 member National Assembly. Members of the National Assembly are elected on the basis of a proportional representation system. 15 members are elected in a single national district, two members are elected for each province, plus one additional member for every 200,000 inhabitants, or the fraction thereof over 150,000 (during the most recent elections, 116 members were elected in provincial party lists), and six members are elected for the special foreign districts representing Ecuadorians living abroad. Only legally recognized political organizations may present candidates for elections.

Direct non-electoral public funding is provided for political parties. Candidates can collect resources on their own, but campaign financial accounts are managed by a financial manager designated by party organizations. The manager is exclusively responsible for keeping records and presenting reports to the National Electoral Council. When parties present several lists for multi-member elections, the financial manager must present reports for each lists separately. Individual candidates can self-finance only 10% of the total expenditure authorized by the National Electoral Council.

To guarantee equal and fair access to electoral promotion for all candidates during the campaign, indirect electoral public funding is available. Public financing covers exclusively propaganda in the written press, radio, television and billboards. Candidates are forbidden to hire these types of electoral promotion privately, and public institutions are barred from hiring publicity. The National Electoral Council determines the amount of the electoral bonus that each candidate will receive and monitors expenditures. Campaign funds for presidential candidates are managed by a financial manager, who is required to open a bank account in the national financial system in order to track down campaign expenditures specifically.

The President and Vice President are elected by an absolute majority of the valid votes.  If no candidate secures an absolute majority in the first round of voting, a second round shall be held within 45 days, and the two candidates with the highest number of votes in the first round shall participate. A second round will not be held if one candidate wins at least 40% of the valid votes and a difference of more than 10 percentage points over his nearest challenger.  

The most recent general elections were held in February 2013, when President Rafael Correa of the Alianza PAIS movement was re-elected in the first round of voting with 57.17% of the vote. The runner up candidate was Guillermo Lasso, representing the CREO movement, with 22.68%, with the remaining of the votes being distributed among other six candidates. In the legislative elections, Correa’s Alianza PAIS took 100 of the 137 seats, thus obtaining an overwhelming majority. The other political forces that won seats in the legislature are: CREO (11), the Social Christian Party (6), Patriotic Society (5), Avanza (5), Unity of the Lefts (5), PRE (1), SUMA (1), IDC (1), ARE (1), and MPCG (1)."
GB,United Kingdom,52,39,76,"The United Kingdom has a strong framework in place to regulate political finance, and enforcement is equally strong. Direct public funding is provided to parties, and it appears to be distributed equitably. However, those funds cannot be used during campaigns. Indirect public funding, in the form of free access to broadcast media, is also provided to parties. In practice, that airtime is given out fairly and transparently. Parties are not permitted to independently purchase airtime or otherwise advertise on television during campaigns. Relevant legislation restricts few forms of contribution, but spending during campaigns is capped for both parties and independent candidates. Based on data from the 2010 elections, parties did not even approach the spending limits codified in law. Parties, by law, must report on their finances regularly, both inside and outside campaigns. Independent candidates must do so only after the campaign period, while regulated donees (defined as members of registered parties, including members of parliament and candidates) have to regularly report on contributions received every month. In practice, most parties, candidates, and donees comply with these requirements, and most submit detailed lists of their contributors, though some exceptions exist. The UK Electoral Commission regularly publishes submitted political finance information online in a searchable database. Third party actors are active in UK elections, and those that spend in excess of a certain amount on independent campaign activities are required to report on their political activities. This means that some, though not all, third party organizations are subject to regulations, and that some, though not all, data on their expenditures is publicly available. The Electoral Commission oversees political finance. Its commissioners are typically appointed on merit, and their independence is, by and large, guaranteed. The Commission carried out multiple investigations in the wake of the 2010 elections, and imposed administrative sanctions, most of which were complied with. In general, the enforcement of political finance in the UK has greatly improved since reforms instituted in 2009.","The United Kingdom has a bicameral parliamentary system, with a Prime Minister as the head of government, and a monarch as the technical head of state.  The House of Commons is the lower house of Parliament, and is composed of 650 members, each of which represents a single constituency and is selected on the basis of first-past-the-post voting.  The Prime Minister is the leader of the party with the most seats in the House of Commons, and is appointed by the sitting monarch.

In the 2010 election no clear majority government was elected. As such a coalition between the Conservatives and the Liberal Democrats, the third largest party in the UK, was formed. The prime minister is the Conservative David Cameron, and the Deputy Prime Minister is the Nick Clegg, the leader of the Liberal Democrats.

The Conservative Party won 307 seats in the election, and the Liberal Democrats 57. This gave them a combined majority in parliament with 364 seats of 650. The Labour party formed the opposition with 258 seats.  

The House of Lords, the upper house, has 779 members, none of whom are directly elected.  Most are appointed by the Queen on the advice of the Prime Minister, or on the advice of the House of Lords Appointments Commission. The House of Lords scrutinises bills proposed by the commons and has the power to amend them. It can only in rare circumstances prevent bills from becoming law, though can delay the passage of a bill to force the House of Commons to reconsider the legislation.

Electoral campaigns are funded and managed by both parties and candidates.  In the run up to the last general election in May 2010, parties spent a total of approximately £31.5 million (USD 53.0 million).  In the month between the dissolvement of Parliament and voting day, candidate spending amounted to  £14.0 million (USD 23.6 million)."
GE,Georgia,79,93,63,"Georgia has a robust political finance system, as illustrated by its adherence to laws that distribute both direct and indirect public funding to parties and candidates. That said, during the 2012 and 2013 elections, non-financial state resources, including staff, were prevalently abused for electoral benefit. In law, there are limits or prohibitions on contributions from foreign sources, individuals, third parties, and corporations, and electoral expenditures are capped. Nevertheless, larger parties are still quite reliant on private donations, and illegal contributions occurred frequently during recent elections. Reporting requirements for both parties and candidates are fairly strict, and reports submitted by both types of actors typically include all of their contributors. All submitted information is published online in pdf (i.e., non machine readable) formats. Third party actors, which feature somewhat prominently in Georgian politics, are subject to reporting requirements, though not all such organizations act within the bounds of the law when conducting their activities. The State Audit Office (SAO) is charged with monitoring and enforcing political finance laws, but its ability to do so equitably is weakened by in practice deficiencies where its appointees' merit and independence are concerned. The SAO does not have the staff to carry out investigations when warranted, and though it imposes sanctions on violators, it is unable to comprehensively police financial flows during campaigns. According to experts, improvements in the competence and independence of the SAO are necessary for enhancing the quality of enforcement.","Georgia has a unicameral legislature with a  directly elected head of state. The Parliament of Georgia consists of 77 members elected by a proportional voting system and 73 members elected by a majoritarian voting system (FPTP) in single mandate constituencies. The MPs shall serve for a term of four years based on universal, equal, and direct suffrage through secret ballot. The President of Georgia is the Head of the State of Georgia, elected through universal, equal, and direct suffrage by secret ballot for a term of five years. The most recent Presidential Elections took place on October 27, 2013 and most recent Parliamentary Elections took place on October 1, 2012.

Campaign funds are managed on the party level and a candidate nominated by an electoral subject (party or coalition) shall use the fund of the electoral subject nominating the candidate. Individual candidate's funds are managed through the fund opened by an initiative group of voters. 

Specifically:
a) Party funds the campaign if the party independently participates in the election/referendum;
b) the first party on the list of an electoral bloc (coalition) funds and manages funding if political unions come together as one electoral subject;
c) the election funds opened by an initiative group of voters are used to fund and manage funding of the campaign of an independent (individual) candidate.

Political parties receive public funding only if they are ""qualified"" subjects, having gained a specific number of votes in previous elections. Independent candidates may get their electoral campaign costs reimbursed after the election if they gather a certain number of votes. 

Currently there is an ongoing reform working on amending the electoral system of Parliament. Specifically, it is considered that the system is not providing equal vote weight to all voters, since Majoritarian Districts in Georgian FPTP system are distributed according to the existing municipalities, which have different number of voters. Therefore, voters from one district can have a vote-weight up to 27 times more than voters from another district."
GH,Ghana,26,36,22,"Ghana does not provide parties or candidates with funding, direct or indirect, for electoral campaigning. Few contributions are restricted, and the law does not limit spending during campaigns. Parties and candidates rely primarily on membership dues and self-financing to generate funds. Due to the absence of most regulations, no violations of restrictions were reported during the 2012 elections. Parties are required to report their financial information within and without the campaign season, but in practice, it is not uncommon for them to fail to meet these requirements. Of the information that is submitted, it often fails to include a full list of contributors. Financial reports are not made accessible to the public in a timely fashion. There is no regulation of third party actors in the Ghanaian system. The oversight body, the Electoral Commission, is generally independent, though some of its leaders may have been appointed on a non-merit-basis. In practice, however, the Electoral Commission exercises very little control of political finance. It has not investigated or audited party accounts within the study period due to a lack of capacity, nor has it sanctioned any party for violating the law (despite the fact that several violations have occurred).","Elections to Ghana’s single chamber parliament are based on a plurality-majority system:  a simple majority is sufficient to win election. Each member of parliament represents one of 275 single-member electoral districts. Individual candidates mobilize and spend funds during the campaign. Political parties raise and spend additional funds, particularly to coordinate campaigns across the country.
 
In order to win presidential elections, a candidate must secure 50 percent plus one of valid votes cast. If no candidate meets this threshold a run-off is organized between the two leading candidates within 21 days of the first round. Similar to parliamentary elections, both individual candidates and parties raise and spend funds for presidential campaigns.
 
Parliamentary and presidential elections are highly competitive and occur every four years. While independents and candidates from a number of other parties compete in elections, only two parties have won the presidency or secured a majority in parliament since the return to multi-party democracy in 1992. The last elections occurred in December 2012."
HR,Croatia,62,78,63,"Croatia provides public subsidies for parties and candidates during campaigns, both in law and in practice. No indirect funding in the form of subsidized access to media exists, and the evidence indicates that non-financial public resources, including ministry vehicles, were occasionally abused in recent elections. The legal framework restricts many types of contributions and also caps the amount that can be spent during election campaigns. As a result, public funding comprises a huge chunk of party budgets. Few, if any, of the legal limits were violated in the 2014 elections. Parties and candidates are subject to strict legal reporting requirements, the majority of which are complied with in practice. Submitted financial reports are available online, but not in a machine-readable format. Despite these successes, the 2014 elections were marred by numerous violations of political finance laws. Further, no law exists to regulate the independent activities of third party actors during campaigns, even though at least one actor (a football team) engaged in partisan political action during the 2014 campaign. The State Election Committee (SEC) oversees political finance issues. Appointments to the SEC are not merit-based, but the body is at least somewhat independent in practice. It has sufficient capacity to pursue its remit, and regularly investigates potential violations of political finance. However, the SEC lacks the legal authority to impose sanctions, and experts report that this weakens the strength of enforcement in Croatia.","Croatia has a unicameral parliament with a directly elected head of state. The President of Croatia is elected at direct elections, and to become a president candidate must win majority of votes from voters who voted (system of the absolute majority). If no candidate won absolute majority, then elections are repeated in 14 days. In the second round, only 2 candidates who won majority of votes in the first round can compete for the position. 

Croatian electoral system faced many changed from 1990 onwards, and as of 1999 Croatia has proportional electoral system for parliamentary elections with 10 proportional electoral entities (with 2 entities in special status), each with 14 mandates in Croatian Parliament. One voter has one vote, and votes are being calculated to mandates using D'Hondt procedure.

Campaigns are funded by Government and through donations and funds parties have at their disposal through various activities. Government is granting funding to all parties and independent representatives/candidates providing they meet minimal threshold for entering the Parliament. All funding that parties/independent candidates receive must be fully reported and made publicly available. 

The most recent elections in Croatia were:
May 2014 - European elections
May 2013 - Local elections
April 2013 - European elections
December 2011 - parliamentary elections
December 2009 - Presidential elections"
HU,Hungary,38,47,42,"In Hungary, direct public funding is provided to parties and candidates, both in law and in practice. However, the agency in charge of making disbursements of state funds does not release detailed information on those payments to the public. Hungarian legislation also mandates that parties be allocated equitable access to advertising on public media, but this is not borne out in practice. Further, non-financial state resources are regularly abused during election campaigns, especially by the ruling part, Fidesz. Electoral spending is capped at a maximum limit, but restrictions on contribution are not as stringent. Cash and anonymous donations are permitted, and there is no limit on donations from individuals. State funds make up the largest chunk of parties' budgets, but other income streams, including private donations, are important. Financial reporting is required only after campaigns and, for parties, annually. In practice, parties and candidates fail to submit full reports on their contributors. Obtaining these reports is difficult for citizens, though journalists and civil society actors have accessed official data in their work. Third party actors are not especially prevalent in the electoral landscape, but those that do exist are not subject to any regulatory requirements. The two authorities in charge of overseeing political finance, the State Audit Office (SAO) and the State Treasury, are staffed by appointees who are not appointed in fully public, merit-based processes. In practice, the independence of the SAO is not fully guaranteed. The SAO does have the capacity to monitor political finance, and carried out some audits after the 2014 elections. However, the SAO does not have the authority to impose sanctions, and those enacted by the State Treasury, which monitors the use of state funding, are too weak to deter violators.","Hungary has a unicameral legislature in which Parliament is composed of 199 representatives. 106 of the representatives are elected in single-member constituencies through majoritarian contests, and 93 are distributed through a proportional system with a 5% threshold for parties receiving seats. 

The election is a one-round elenction where every eligible person cast his/her vote on a candidate of his/her single-member constituency and one party list (a list of the party with the intended representatives on it). 

In the single-member constituencies the candidate with the most votes will be the MP.

In the proportional system not only the directly cast votes are calculated, but a party get the votes of all his losing candidates in the single-member constituencies plus all the superfluous votes from its winning candidates. (This is a system of two contrary mechanism: The losing candidates carry over their votes as compensating votes in order to help their party to get into the Parliament and helping a more equal representation, while the winning candidates carry over their votes to support their parties majority, thus providing more to the stable governing. The superfluous votes are all the unnecessary votes of the victory, thus every vote above the candidate with the second most votes plus 1.) 

Another unique attribute of the electoral system is the votes of Hungarians with double citizenship. In the surrounding countires many Hungarian live as an ethnic group and they have the opportunity to apply for a Hungarian citizenship via simplified process. They can only vote for a list, but due to the number of these votes they can decide about 1 or 2 mandates. (In the results they appear as voting by postal ballot.)

The Prime Minister is the head of government, and is nominated for the position by the President, subject to election by Parliament.  The most recent elections occurred in April of 2014.
  
Parliamentary elections are primarily funded by the state, as the candidates receive 1 million HUF for their campaign expenditures, while the parties receive funding based on how many candidates they have in the single-member constituencies. The campaign expenditures are capped at 5 million HUF per candidate, so each party can use its own resources to spend more than the state support.

The President is the official head of state with middle-strong powers.  Parliament elects the president every five years. Its role in the elections can be crucial, as he asks the leader of one of the parties to form government and can choose any leader. Although in the past it was always clear which party has the highest chance to form a stable government, this power can become essential in a tight result.

The 2014 elections were the first one after enacting the new acts on the process of elections, thus it was interesting to see how the new rules influence the political activities and the power relations of the parties. As the result of the elections, the ruling coalition maintained its absolute majority in the Parliament, the Fidesz-KDNP got 133 seats from the available 199. The second most seats was obtained by the alliance of five parties (MSZP, Együtt, DK, PM and MLP) with 38 seats, while the Jobbik received 23 seats. The smallest party that got into the Parliament was LMP with 5 seats.

During the elections many flaws of the current regulation materialized, and the higher number of political parties did not lead to a more diverse Parliament.

As as sidenote the ethnicities also have the chance to delegate a representative to the Parliament. Members of ethnicities can opt for voting for their ethnic list instead of a party list, and if the given ethnicity achieve a calculated quota they can have a representative with vote in the Parliament. If they do not achieve the quota they can send a representative without vote to the Parliament."
ID,Indonesia,47,65,47,"Indonesia's political finance framework makes public funding available for parties, and is distributed according to how many votes were received during the previous election. In practice, obtaining information on how much funding parties received is nearly impossible, as doing so requires filing information requests with parties themselves. Parties and candidates are also granted free access to public media during campaigns; however, in practice, some parties are granted more coverage than others. Further, non-financial state resources are regularly abused during campaigns. Cash contributions are not regulated and though limits cap the amount an individual can donate to presidential candidates and to parties, contributions to members of parliament are not restricted. Corporate donations are limited, and third party actors are not permitted to make direct contributions to campaigns. Spending during campaigns is not capped. Nevertheless, the MPT evidence indicates that actual spending during the campaign season far outstrips the figures reported by parties. Reporting requirements are not comprehensive, and of the reports that are submitted in practice, most fail to include a complete list of contributors. Detailed information on the financial data of political actors is largely unavailable to the public. Third party actors exert influence during campaigns, but as their independent political activities are not regulated by law, little information on their actions is available. The responsibility for enforcing political finance laws is split between two agencies: KPU and Bawaslu. KPU monitors political finance information, and when necessary, refers cases to Bawaslu for investigation. Only KPU can legally impose sanctions, though its powers are limited. Both agencies are independent, with appointees possessing sufficient merit for their positions, but lack the capacity to completely carry out their functions. In practice, Bawaslu does conduct investigations transparently, and KPU does impose sanctions, but violations continue to occur. The KPU's sanctioning authority is limited to administrative fines, and is too weak to deter repeat violators. The limited authority of the oversight bodies hamstrings their ability to meaningfully enforce many political finance regulations.","Indonesia has a presidential executive system in which the head of state (the president) is directly elected.  Parties or coalitions which hold at least 25% of the seats in parliament, or who enjoy 20% of the popular vote, nominate presidential candidates, who manage their own funds during the electoral campaigns.

In the bicameral legislature, the lower house, known as the House of Representatives (DPR), is elected on the basis of a proportional, open-list party system.  Parties nominate several candidates in a given constituency, and candidates receiving the most votes take office.  There are 560 members  elected from 77 electoral regions. The number of lawmakers vary from one electoral region to the next depending on the population of each region. The decision to divide the electoral regions and determine the number of lawmakers per region is in the hands of the General Elections Commission (KPU).  For example, Jakarta, the Indonesian capital and the biggest city in the country is divided into three electoral regions because of its population size with a total number of lawmakers of 21, But the sparsely populated West Papua province only has one electoral region with just 3 lawmakers despite its size. Meanwhile West Java, the biggest province by population is divided into 10 electoral regions with a total of 91 lawmakers.   Campaigns are managed and funded largely at the party level.

There are 132 senators at the Regional Representatives Council (DPD), or Senate, representing 33 provinces except the newly established province of North Kalimantan. Each province has four senators that are elected on the basis of being the top four vote recipients in a given province.. individual candidates can run.  Candidates manage their own campaign funds.  

Legislative elections and presidential elections are held separately.  The most recent legislative elections occurred in April 2014, and the most recent presidential elections were held in July 2014.

There are ten parties which have seats in the DPR, passing a threshold of 3.5 percent of national vote at the 2014 legislative election. Two parties which also participated in the same election: the Star Crescent Party (PBB) and the Inodnesian Justice and Unity Party (PKPI) failed to meet the threshold and thus failed to gain seats at the DPR.  The Indonesian Democratic Party of Struggle (PDI-P) became the winner of the 2014 legislative election securing 109 seats at the DPR while the People’s Conscience Party (Hanura) is the smallest party with 16 seats at the DPR. 

During the 2014 presidential election only two pairs of candidates vied for the presidency and vice presidency: Retired General and Gerindra Party chairman Prabowo Subianto who ran alongside former Economics Minister and PAN chairman Hatta Rajasa; and former Jakarta Governor Joko Widodo and his running mate returning Vice President Jusuf Kalla. 

Subianto-Rajasa was supported by a seven-party coalition which represented 353 seats in the parliament, while Widodo-Kalla was supported by a five-party coalition representing 207 legislative seats. 

Widodo-Kalla won the election by a vote of 53.15 percent (70,997,833) over Subianto-Rajasa with a vote of 46.85 percent (62,576,444)."
IL,Israel,58,67,52,"Israel provides direct public funding for parties, as well as free access to advertising, though in practice questions arose during the 2013 elections about how airtime was distributed. Multiple cases of non-financial resources being abused also occurred during those elections. By law, individuals are limited in the amount they can contribute to parties, and parties cannot spend more than a certain amount during campaigns. In practice, parties rely on public funding for their financing, while candidates are often reliant on individual donors. During the 2013 elections, a number of parties violated restrictions on contribution. Parties are required, in law, to report on their finances within and without the campaign period, while candidates must do so only during elections. Some reports filed by both parties and candidates fail to include a full list of donors and contributions. Some financial information is available online in pdf or word formats. Media organizations typically rely on the Comptroller's report, which covers the entire electoral process, in their coverage of political finance issues. Only some third party actors are required to report partial information on their independent political activities, and obtaining verified information on their spending and contributions is very difficult in practice. The Comptroller is responsible for overseeing political finance -- he is not chosen in a public process, and in practice, the Comptroller's independence is not guaranteed. The Comptroller did not carry out serious investigations in the wake of the 2013 campaign, and sanctions imposed for administrative violations have not deterred repeat violators. Because of a deficit of formidable sanctioning authority, the Comptroller is unable to ensure compliance with the law.","Israel has a unicameral legislature, the Knesset, of 120 members. It has a parliamentary system: The Knesset elects a symbolic head of state, the president, who after the parliamentary election consults with the heads of the elected parties to see whom amongst them can form a coalition. Then the chosen leader gets forty-two days to form a government and a coalition of 61 members or more. Afterwards the Knesset confirms him as the Prime Minister, and the government in general. Usually the prime minister will be the leader of the biggest party (in 2009 though it was the leader of the second biggest party). So far, Israel has always had a multi-party government.

The electoral system of Israel is closed-list (voters choose only parties, not individual candidates) proportional representation: the threshold was 2% in the last elections, and will be raised to 3.25% in the next elections. Lists are competing for the 120 seats of the Knesset for a 4 years term, in one multi-member district.. 

Campaign funds are managed by the Parties. Several parties hold before the general election an inside election (primaries) for candidates, in which they (the candidates) need to finance their own campaign. While only lists may campaign in general elections, individual candidates campaign directly in these intra-party elections. 

Traditionally (at least since 1977), the major political blocks in Israel have been: right-wing and religious parties; left-wing parties; Jewish ultra-religious ('Haredim') parties; and Arab parties. The Labor Party was in power since the establishment of the state (1948) until 1977. Since then, Halikud has been in power most of the time, but also the Labor Party (1984-1986, 1992-1996, 1999-2001) and the centrist party of Kadima (2005-2009). 

The most recent elections held at January 22, 2013. 32 lists competed, and 12 of them passed the threshold and won seats in the Knesset. The largest were: Halikud-Israel Beytenu (joint list of two right-wing parties, who split in July 2014) – 31 seats (26%); Yesh Atid (new centrist party) – 19 seats (16%); Labor Party – 15 seats (12.5%); Habait Hayehudi (right-wing religious party) – 12 seats (10%). Benjamin Netanyahu, the chairman of Halikud and Israel's prime minister since 2009 (and also in 1996-1999), formed the new government. The center-right coalition includes 5 parties – Halikud, Yesh Atid, Habait Hayehudi, Israel Beitenu and Hatnua (centrist party)."
IN,India,31,43,28,"There is no direct public funding for parties or candidates in India. Indirect public funding, however, in the form of free airtime on state run television, is granted to parties. Non-financial state resources were frequently abused during the 2014 elections. No laws restrict cash and anonymous donations, and individuals can legally donate as much as they like. Candidates are legally required to adhere to spending limits during campaigns, but in practice, few actually do. Parties are not subject to any restrictions on expenditure. Candidate limits were regularly breached in the 2014 campaign. In terms of reporting requirements, candidates must report only during campaigns, while parties should submit annual and post election reports. In practice, the reports submitted often lack important details on contributors and donations, and are not totally available to the public. As such, media coverage of official political finance data is scant at best, though violations are common. The independent political activities of third party actors are not regulated, and the public has no access to information on the financial workings of these actors. The Electoral Commission (ECI) is responsible for overseeing political finance. Its appointees are not fully merit-based, and their independence is less than guaranteed. Despite having sufficient staff and budget, the ECI does not audit any party reports, and its recommendations for sanctions are frequently ignored.","The Parliament of India comprises two Houses - the Lok Sabha (Lower House) and Rajya Sabha (Upper House). The Lok Sabha (House of the People) has a strength of 543 members who are directly elected by the citizens of India on the basis of universal adult franchise. Elections follow the first-past-the-post system and are held every five years. The Rajya Sabha (Council of States) is a permanent body and can have a maximum of 250 members. 238 members are elected from States and Union Territories and 12 members nominated by the President of India from eminent persons from the field of literature, science, art and social service. One third of the members retire every second year and are replaced by newly elected members. Each member is elected for a term of six years. Elections to the Rajya Sabha are held through the system of proportional representation of elected members of the Legislative Assembly of the State by single transferable vote. In actuality, the Rajya Sabha has 245 members, 233 being elected by the members of the State Legisliative Assemblies.

The President of India is elected by the elected members of the Vidhan Sabhas (State Legislative Assembly), Lok Sabha and Rajya Sabha, and serves for a period of 5 years (the incumbent can stand for re-election). A formula used to allocate votes ensures that there is a balance between the population of each state and the number of votes members from a State Legislative Assembly can cast and gives an equal balance between State Assembly members and National Parliament members. If no candidate receives a majority of votes, the losing candidates are eliminated from the contest and votes for them transferred to other candidates, until one candidate gains a majority. 

The powers to legislate on all matters concerning elections, including political finance regulations at the level of the national Parliament and State Legislatures, vests with the national Parliament. By law, political parties are free to receive voluntary contributions from any person and any company, other than a government company, under the condition that the parties must declare to the Election Commission the list  of contributions received in excess of Rs. 20,000 in any financial year by amount and identity of donor. Candidates are also free to receive contributions without limit but are subject to expenditure limits during elections and subject to declaring it in their income tax returns and providing receipts as supporting evidence that such donations were used for electoral expenses. Neither a political party nor a candidate can receive funding from any foreign sources except from Indian citizens based abroad.

The 2014 General Elections to the Lok Sabha was held between 7 April 2014 to 12 May 2014 in 9 phases across the country. The Schedule for the General Elections was announced on 5 March 2014 and the Model Code of Conduct (MCC) for the Guidance of Political Parties and Candidates came into operation on the same day in the entire country which was applicable to all Political Parties and to the Union and State Governments and UT Administrations. Results were declared on 16 May 2014.

Additionally, under Article 243K and 243ZA of the Constitution of India, elections are held once in five years to Panchayats (rural local bodies) and Municipalities (urban local bodies). These elections are conducted by the State Election Commission of every State. The State Election Commissioner is appointed by the Governor of the concerned State."
IT,Italy,39,52,28,"In Italy, parties receive direct public funding (though subsidies will be phased out entirely by 2017). They also receive free access to airtime for advertising purposes during campaigns, which, with few exceptions, is distributed equitably and transparently. Non-financial state resources are often used for electoral purposes. Individuals and corporations are limited in how much they can donate to parties, but not to individual candidates, and spending by both parties and candidates is capped during campaigns. Historically, parties are very reliant on public funding, though this will change as allocations of public funds diminish in the next few years. Both parties and candidates are required to report their financial information during campaigns, but only parties must submit reports outside of the campaign season. Submitted reports often contain, at best, a partially itemized list of all contributors, and lack some information. In public, it is difficult for the public to access high quality, machine readable, and standardized political finance information. Vote buying was common in Italy during the 2013 elections, as were other political finance violations. Some third party actors are required to report on their independent political activity, but trade unions and non profits are under no such obligations. This means that, in practice, the political actions of third party actors are mostly opaque. Recent reforms established a monitoring commission but the commission has no investigatory powers, and its appointees are neither completely merit based nor guaranteed full independence in practice. Its capacity to exercise control of political finance is limited, it carries out no investigations, and its administrative sanctions do not prevent frequent violations of the law.","Italy is a parliamentary republic with a bicameral legislature.  Members of the Chamber of Deputies are elected by voters on the basis of proportional representation in a party list system.  There are 360 deputies.  315 members of the Senate are directly elected on a regional basis, and a number of additional seats in the Senate are held open for appointed members.  To become a law, a bill must be approved by both houses.

The President of Italy is elected by a joint session parliament every 7 years.  Technically the head of state, he has the power the dissolve both houses of Parliament, and appoints the Prime Minister.  The Prime Minister is either the leader of the coalition that wins elections, or an appointee of the President instructed to form a national unity government.  He must be supported by both houses of parliament.

The most recent elections to the Chamber of Deputies and the Senate were held in February of 2013.  The left wing Democratic Party won 29.5% of the popular vote, followed by the center right coalition of the People of Freedom with 29.1% of the vote, and the Five Star Movement at 25.5%.  The DP holds 345 seats in the Chamber of Deputies and 123 Senate seats; the PoF has 125 and 117, respectively, and the 5 Star Movement has 109 and 54.  The Democrats and the PoF are currently ruling in a grand coalition helmed by Matteo Renzi.

Campaigns are funded at the party level, but candidates can also raise their own finances."
